,Race History
,Race #,Speed,Accuracy,Points,Place,Date,Options
1251,1459,67 WPM,96.9%,44,3/5,"Jan. 31, 2021",
1252,1458,78 WPM,98.5%,42,3/5,"Jan. 31, 2021",
1253,1457,83 WPM,97.3%,66,2/5,"Jan. 31, 2021",
1254,1456,75 WPM,96.1%,38,4/5,"Jan. 31, 2021",
1255,1455,68 WPM,95.8%,70,4/5,"Jan. 29, 2021",
1256,1454,67 WPM,94.9%,41,2/5,"Jan. 29, 2021",
1257,1453,72 WPM,97.1%,66,1/5,"Jan. 29, 2021",
1258,1452,79 WPM,97.5%,97,4/5,"Jan. 29, 2021",
1259,1451,78 WPM,96.9%,71,1/5,"Jan. 29, 2021",
1260,1450,72 WPM,97.2%,48,2/5,"Jan. 29, 2021",
1261,1449,73 WPM,96.8%,116,3/4,"Jan. 29, 2021",
1262,1448,83 WPM,97.8%,44,1/5,"Jan. 27, 2021",
1263,1447,71 WPM,96.5%,73,4/5,"Jan. 27, 2021",
1264,1446,76 WPM,97.1%,47,3/5,"Jan. 27, 2021",
1265,1445,76 WPM,98.1%,68,1/4,"Jan. 27, 2021",
1266,1444,74 WPM,97.1%,132,2/5,"Jan. 27, 2021",
1267,1443,76 WPM,97.1%,58,3/5,"Jan. 27, 2021",
1268,1442,76 WPM,96.7%,54,2/5,"Jan. 27, 2021",
1269,1441,86 WPM,98.1%,76,2/4,"Jan. 27, 2021",
1270,1440,76 WPM,96.7%,74,1/5,"Jan. 27, 2021",
1271,1439,77 WPM,97.3%,51,3/4,"Jan. 27, 2021",
1272,1438,74 WPM,97.6%,69,5/5,"Jan. 27, 2021",
1273,1437,74 WPM,97.2%,76,1/5,"Jan. 27, 2021",
1274,1436,70 WPM,95.6%,51,4/5,"Jan. 27, 2021",
1275,1435,78 WPM,97.8%,57,1/5,"Jan. 27, 2021",
1276,1434,71 WPM,97.6%,92,5/5,"Jan. 27, 2021",
1277,1433,75 WPM,96.7%,46,2/5,"Jan. 27, 2021",
1278,1432,71 WPM,96.1%,43,2/5,"Jan. 25, 2021",
1279,1431,77 WPM,97.0%,39,2/5,"Jan. 25, 2021",
1280,1430,70 WPM,96.5%,34,3/5,"Jan. 24, 2021",
1281,1429,71 WPM,97.5%,58,2/5,"Jan. 24, 2021",
1282,1428,70 WPM,95.9%,63,2/5,"Jan. 24, 2021",
1283,1427,74 WPM,97.1%,57,1/5,"Jan. 24, 2021",
1284,1426,77 WPM,97.2%,44,1/5,"Jan. 24, 2021",
1285,1425,64 WPM,94.7%,64,5/5,"Jan. 24, 2021",
1286,1424,76 WPM,98.3%,76,3/5,"Jan. 24, 2021",
1287,1423,69 WPM,96.7%,100,2/4,"Jan. 24, 2021",
1288,1422,73 WPM,96.6%,35,2/5,"Jan. 24, 2021",
1289,1421,76 WPM,96.5%,67,1/5,"Jan. 24, 2021",
1290,1420,73 WPM,96.8%,55,2/5,"Jan. 24, 2021",
1291,1419,67 WPM,95.1%,62,2/5,"Jan. 24, 2021",
1292,1418,74 WPM,97.0%,102,2/5,"Jan. 24, 2021",
1293,1417,75 WPM,97.4%,59,3/5,"Jan. 24, 2021",
1294,1416,66 WPM,94.2%,60,3/5,"Jan. 24, 2021",
1295,1415,71 WPM,96.4%,42,1/5,"Jan. 24, 2021",
1296,1414,92 WPM,100.0%,63,1/5,"Jan. 24, 2021",
1297,1413,64 WPM,95.3%,47,4/5,"Jan. 24, 2021",
1298,1412,70 WPM,95.8%,82,3/5,"Jan. 24, 2021",
1299,1411,66 WPM,95.4%,34,3/5,"Jan. 24, 2021",
1300,1410,77 WPM,96.9%,77,1/5,"Jan. 24, 2021",
1301,1409,74 WPM,96.4%,53,3/5,"Jan. 24, 2021",
1302,1408,75 WPM,97.0%,59,4/5,"Jan. 24, 2021",
1303,1407,73 WPM,97.1%,45,1/5,"Jan. 24, 2021",
1304,1406,67 WPM,95.7%,33,2/5,"Jan. 24, 2021",
1305,1405,72 WPM,95.3%,59,4/5,"Jan. 24, 2021",
1306,1404,82 WPM,98.1%,34,2/5,"Jan. 24, 2021",
1307,1403,80 WPM,97.6%,45,3/5,"Jan. 24, 2021",
1308,1402,75 WPM,96.9%,81,3/5,"Jan. 24, 2021",
1309,1401,72 WPM,96.2%,51,1/4,"Jan. 24, 2021",
1310,1400,67 WPM,95.1%,65,1/4,"Jan. 24, 2021",
1311,1399,84 WPM,98.4%,49,2/5,"Jan. 24, 2021",
1312,1398,80 WPM,98.5%,81,1/5,"Jan. 24, 2021",
1313,1397,67 WPM,95.7%,37,3/5,"Jan. 24, 2021",
1314,1396,68 WPM,96.1%,56,2/4,"Jan. 24, 2021",
1315,1395,67 WPM,96.1%,61,4/4,"Jan. 24, 2021",
1316,1394,70 WPM,96.3%,38,4/5,"Jan. 24, 2021",
1317,1393,71 WPM,95.4%,38,4/5,"Jan. 24, 2021",
1318,1392,81 WPM,99.0%,47,2/5,"Jan. 24, 2021",
1319,1391,71 WPM,96.5%,60,3/5,"Jan. 24, 2021",
1320,1390,80 WPM,97.8%,66,3/5,"Jan. 24, 2021",
1321,1389,73 WPM,96.4%,102,2/5,"Jan. 24, 2021",
1322,1388,67 WPM,95.9%,51,3/5,"Jan. 24, 2021",
1323,1387,79 WPM,97.3%,34,1/5,"Jan. 24, 2021",
1324,1386,70 WPM,95.6%,46,3/4,"Jan. 24, 2021",
1325,1385,75 WPM,97.5%,59,3/5,"Jan. 24, 2021",
1326,1384,80 WPM,97.1%,56,1/5,"Jan. 23, 2021",
1327,1383,84 WPM,98.1%,42,1/5,"Jan. 23, 2021",
1328,1382,70 WPM,95.9%,79,2/5,"Jan. 23, 2021",
1329,1381,71 WPM,96.7%,44,2/4,"Jan. 23, 2021",
1330,1380,66 WPM,94.9%,48,4/5,"Jan. 23, 2021",
1331,1379,78 WPM,97.8%,68,1/5,"Jan. 23, 2021",
1332,1378,76 WPM,98.4%,41,2/5,"Jan. 23, 2021",
1333,1377,69 WPM,96.4%,32,2/5,"Jan. 23, 2021",
1334,1376,75 WPM,95.3%,34,3/5,"Jan. 23, 2021",
1335,1375,65 WPM,96.0%,68,1/5,"Jan. 23, 2021",
1336,1374,77 WPM,96.9%,35,1/5,"Jan. 23, 2021",
1337,1373,68 WPM,96.2%,34,1/5,"Jan. 23, 2021",
1338,1372,74 WPM,96.6%,74,2/4,"Jan. 23, 2021",
1339,1371,74 WPM,97.0%,54,2/5,"Jan. 23, 2021",
1340,1370,68 WPM,96.4%,50,2/5,"Jan. 23, 2021",
1341,1369,71 WPM,97.1%,64,1/5,"Jan. 23, 2021",
1342,1368,75 WPM,98.2%,53,1/4,"Jan. 23, 2021",
1343,1367,69 WPM,96.2%,35,1/5,"Jan. 23, 2021",
1344,1366,70 WPM,98.2%,56,3/5,"Jan. 23, 2021",
1345,1365,78 WPM,98.6%,87,1/5,"Jan. 23, 2021",
1346,1364,81 WPM,98.5%,72,2/4,"Jan. 23, 2021",
1347,1363,68 WPM,96.4%,48,4/5,"Jan. 23, 2021",
1348,1362,73 WPM,96.9%,68,3/3,"Jan. 22, 2021",
1349,1361,74 WPM,96.3%,115,4/5,"Jan. 22, 2021",
1350,1360,69 WPM,95.7%,55,2/5,"Jan. 22, 2021",
1351,1359,73 WPM,98.1%,107,4/5,"Jan. 22, 2021",
1352,1358,75 WPM,97.2%,69,1/5,"Jan. 22, 2021",
1353,1357,80 WPM,99.0%,88,1/5,"Jan. 22, 2021",
1354,1356,69 WPM,95.5%,76,5/5,"Jan. 22, 2021",
1355,1355,71 WPM,96.6%,47,2/5,"Jan. 22, 2021",
1356,1354,63 WPM,96.3%,48,5/5,"Jan. 22, 2021",
1357,1353,72 WPM,96.9%,66,2/5,"Jan. 22, 2021",
1358,1352,70 WPM,96.4%,50,4/5,"Jan. 22, 2021",
1359,1351,71 WPM,97.2%,51,4/5,"Jan. 22, 2021",
1360,1350,74 WPM,99.0%,48,2/5,"Jan. 22, 2021",
1361,1349,69 WPM,96.6%,53,2/5,"Jan. 22, 2021",
1362,1348,69 WPM,95.4%,92,2/5,"Jan. 21, 2021",
1363,1347,75 WPM,97.3%,65,2/5,"Jan. 21, 2021",
1364,1346,70 WPM,95.8%,54,4/5,"Jan. 21, 2021",
1365,1345,77 WPM,97.4%,55,3/4,"Jan. 21, 2021",
1366,1344,67 WPM,96.1%,42,4/5,"Jan. 21, 2021",
1367,1343,78 WPM,97.8%,61,2/5,"Jan. 21, 2021",
1368,1342,66 WPM,95.9%,49,3/5,"Jan. 21, 2021",
1369,1341,66 WPM,96.1%,42,1/5,"Jan. 21, 2021",
1370,1340,71 WPM,96.3%,57,3/5,"Jan. 21, 2021",
1371,1339,66 WPM,95.5%,36,4/5,"Jan. 21, 2021",
1372,1338,69 WPM,95.7%,92,3/4,"Jan. 21, 2021",
1373,1337,70 WPM,95.6%,85,4/5,"Jan. 21, 2021",
1374,1336,67 WPM,96.3%,45,2/4,"Jan. 21, 2021",
1375,1335,71 WPM,96.2%,45,5/5,"Jan. 21, 2021",
1376,1334,66 WPM,96.9%,57,3/5,"Jan. 21, 2021",
1377,1333,72 WPM,98.8%,58,3/5,"Jan. 21, 2021",
1378,1332,68 WPM,95.2%,53,1/5,"Jan. 21, 2021",
1379,1331,82 WPM,98.1%,71,1/5,"Jan. 21, 2021",
1380,1330,67 WPM,95.0%,38,1/5,"Jan. 21, 2021",
1381,1329,66 WPM,95.8%,66,2/5,"Jan. 21, 2021",
1382,1328,71 WPM,97.6%,30,3/5,"Jan. 21, 2021",
1383,1327,70 WPM,95.5%,100,2/5,"Jan. 21, 2021",
1384,1326,70 WPM,95.9%,62,3/4,"Jan. 21, 2021",
1385,1325,70 WPM,96.8%,66,5/5,"Jan. 21, 2021",
1386,1324,82 WPM,98.3%,75,2/5,"Jan. 20, 2021",
1387,1323,65 WPM,97.5%,53,3/5,"Jan. 20, 2021",
1388,1322,84 WPM,98.6%,37,1/5,"Jan. 20, 2021",
1389,1321,77 WPM,97.8%,59,2/5,"Jan. 20, 2021",
1390,1320,77 WPM,98.2%,81,1/5,"Jan. 20, 2021",
1391,1319,84 WPM,98.4%,54,5/5,"Jan. 20, 2021",
1392,1318,73 WPM,96.5%,88,4/5,"Jan. 20, 2021",
1393,1317,88 WPM,99.3%,78,1/4,"Jan. 20, 2021",
1394,1316,71 WPM,95.9%,43,2/5,"Jan. 20, 2021",
1395,1315,77 WPM,97.3%,82,1/5,"Jan. 20, 2021",
1396,1314,70 WPM,96.5%,48,2/5,"Jan. 20, 2021",
1397,1313,68 WPM,95.8%,48,1/5,"Jan. 20, 2021",
1398,1312,74 WPM,96.5%,74,3/4,"Jan. 20, 2021",
1399,1311,75 WPM,97.9%,109,4/5,"Jan. 20, 2021",
1400,1310,67 WPM,95.8%,37,5/5,"Jan. 20, 2021",
1401,1309,63 WPM,96.1%,45,2/5,"Jan. 20, 2021",
1402,1308,71 WPM,97.9%,76,2/5,"Jan. 20, 2021",
1403,1307,68 WPM,96.6%,41,2/5,"Jan. 20, 2021",
1404,1306,72 WPM,96.6%,30,4/5,"Jan. 20, 2021",
1405,1305,66 WPM,96.7%,90,3/4,"Jan. 20, 2021",
1406,1304,71 WPM,97.2%,56,5/5,"Jan. 20, 2021",
1407,1303,66 WPM,96.9%,73,2/5,"Jan. 20, 2021",
1408,1302,68 WPM,96.1%,68,4/5,"Jan. 20, 2021",
1409,1301,70 WPM,96.7%,52,1/4,"Jan. 20, 2021",
1410,1300,70 WPM,96.8%,73,1/4,"Jan. 20, 2021",
1411,1299,75 WPM,97.7%,54,3/5,"Jan. 20, 2021",
1412,1298,67 WPM,96.3%,40,3/4,"Jan. 20, 2021",
1413,1297,73 WPM,97.5%,80,4/5,"Jan. 20, 2021",
1414,1296,71 WPM,97.0%,74,4/5,"Jan. 20, 2021",
1415,1295,72 WPM,96.1%,50,5/5,"Jan. 20, 2021",
1416,1294,77 WPM,97.6%,70,2/5,"Jan. 20, 2021",
1417,1293,65 WPM,96.9%,48,4/5,"Jan. 20, 2021",
1418,1292,77 WPM,97.5%,48,3/5,"Jan. 20, 2021",
1419,1291,73 WPM,96.4%,88,1/5,"Jan. 20, 2021",
1420,1290,75 WPM,96.4%,62,1/5,"Jan. 20, 2021",
1421,1289,82 WPM,98.8%,41,1/5,"Jan. 20, 2021",
1422,1288,92 WPM,99.2%,41,1/5,"Jan. 20, 2021",
1423,1287,66 WPM,95.9%,94,3/4,"Jan. 20, 2021",
1424,1286,72 WPM,96.6%,68,1/5,"Jan. 20, 2021",
1425,1285,77 WPM,96.9%,71,2/5,"Jan. 20, 2021",
1426,1284,70 WPM,96.7%,94,4/5,"Jan. 20, 2021",
1427,1283,72 WPM,96.9%,41,4/5,"Jan. 20, 2021",
1428,1282,62 WPM,94.6%,36,3/5,"Jan. 20, 2021",
1429,1281,77 WPM,97.5%,54,2/5,"Jan. 20, 2021",
1430,1280,74 WPM,96.7%,76,3/5,"Jan. 20, 2021",
1431,1279,76 WPM,96.2%,43,4/5,"Jan. 20, 2021",
1432,1278,76 WPM,96.7%,76,4/5,"Jan. 20, 2021",
1433,1277,80 WPM,97.3%,96,3/5,"Jan. 20, 2021",
1434,1276,68 WPM,95.6%,68,3/5,"Jan. 20, 2021",
1435,1275,83 WPM,97.9%,43,3/4,"Jan. 20, 2021",
1436,1274,64 WPM,95.2%,50,3/4,"Jan. 20, 2021",
1437,1273,72 WPM,97.5%,93,3/4,"Jan. 17, 2021",
1438,1272,75 WPM,97.4%,38,3/5,"Jan. 17, 2021",
1439,1271,81 WPM,99.0%,45,1/5,"Jan. 17, 2021",
1440,1270,76 WPM,97.4%,51,1/5,"Jan. 17, 2021",
1441,1269,71 WPM,96.8%,46,1/5,"Jan. 17, 2021",
1442,1268,79 WPM,98.2%,42,1/5,"Jan. 17, 2021",
1443,1267,71 WPM,97.4%,50,1/5,"Jan. 17, 2021",
1444,1266,70 WPM,97.0%,57,3/5,"Jan. 17, 2021",
1445,1265,61 WPM,95.3%,28,3/5,"Jan. 17, 2021",
1446,1264,74 WPM,95.8%,77,3/5,"Jan. 17, 2021",
1447,1263,70 WPM,95.5%,33,4/5,"Jan. 17, 2021",
1448,1262,78 WPM,98.5%,98,2/5,"Jan. 17, 2021",
1449,1261,71 WPM,98.2%,51,1/5,"Jan. 17, 2021",
1450,1260,78 WPM,98.4%,54,1/5,"Jan. 17, 2021",
1451,1259,68 WPM,95.8%,64,3/5,"Jan. 17, 2021",
1452,1258,78 WPM,98.8%,87,3/4,"Jan. 17, 2021",
1453,1257,71 WPM,96.5%,57,3/5,"Jan. 17, 2021",
1454,1256,70 WPM,97.1%,80,3/5,"Jan. 17, 2021",
1455,1255,76 WPM,98.1%,57,3/5,"Jan. 17, 2021",
1456,1254,74 WPM,98.1%,95,1/5,"Jan. 17, 2021",
1457,1253,71 WPM,96.7%,47,2/5,"Jan. 17, 2021",
1458,1252,69 WPM,96.2%,45,2/4,"Jan. 17, 2021",
1459,1251,64 WPM,95.0%,41,4/5,"Jan. 17, 2021",
1460,1250,72 WPM,96.7%,61,2/5,"Jan. 17, 2021",
1461,1249,83 WPM,98.1%,68,3/5,"Jan. 17, 2021",
1462,1248,74 WPM,97.1%,47,3/4,"Jan. 17, 2021",
1463,1247,71 WPM,96.0%,88,3/4,"Jan. 17, 2021",
1464,1246,76 WPM,96.4%,43,2/5,"Jan. 17, 2021",
1465,1245,66 WPM,95.2%,53,1/5,"Jan. 17, 2021",
1466,1244,80 WPM,98.5%,63,3/4,"Jan. 16, 2021",
1467,1243,72 WPM,96.4%,43,3/5,"Jan. 16, 2021",
1468,1242,76 WPM,97.1%,37,2/5,"Jan. 16, 2021",
1469,1241,77 WPM,95.9%,60,1/5,"Jan. 16, 2021",
1470,1240,80 WPM,97.3%,80,2/5,"Jan. 16, 2021",
1471,1239,69 WPM,96.1%,35,3/5,"Jan. 16, 2021",
1472,1238,67 WPM,95.1%,61,2/4,"Jan. 16, 2021",
1473,1237,72 WPM,96.3%,99,4/5,"Jan. 16, 2021",
1474,1236,83 WPM,98.5%,56,4/5,"Jan. 16, 2021",
1475,1235,73 WPM,95.7%,68,5/5,"Jan. 16, 2021",
1476,1234,71 WPM,96.1%,52,3/5,"Jan. 16, 2021",
1477,1233,74 WPM,97.3%,54,4/5,"Jan. 16, 2021",
1478,1232,70 WPM,96.3%,66,3/5,"Jan. 16, 2021",
1479,1231,79 WPM,97.6%,42,3/5,"Jan. 16, 2021",
1480,1230,82 WPM,97.8%,42,1/5,"Jan. 16, 2021",
1481,1229,78 WPM,97.0%,46,2/5,"Jan. 16, 2021",
1482,1228,77 WPM,96.8%,202,4/5,"Jan. 16, 2021",
1483,1227,70 WPM,95.7%,46,4/5,"Jan. 16, 2021",
1484,1226,75 WPM,96.8%,113,3/4,"Jan. 16, 2021",
1485,1225,69 WPM,96.7%,62,3/5,"Jan. 16, 2021",
1486,1224,70 WPM,97.8%,41,3/5,"Jan. 16, 2021",
1487,1223,80 WPM,98.3%,77,2/5,"Jan. 16, 2021",
1488,1222,76 WPM,97.5%,62,2/5,"Jan. 16, 2021",
1489,1221,76 WPM,95.7%,61,1/5,"Jan. 16, 2021",
1490,1220,69 WPM,95.2%,44,2/5,"Jan. 16, 2021",
1491,1219,70 WPM,97.8%,80,1/4,"Jan. 16, 2021",
1492,1218,73 WPM,96.3%,83,2/4,"Jan. 16, 2021",
1493,1217,77 WPM,98.4%,54,4/5,"Jan. 16, 2021",
1494,1216,67 WPM,95.4%,59,3/5,"Jan. 16, 2021",
1495,1215,69 WPM,95.2%,88,4/5,"Jan. 16, 2021",
1496,1214,70 WPM,96.1%,41,1/5,"Jan. 16, 2021",
1497,1213,83 WPM,97.5%,43,1/4,"Jan. 16, 2021",
1498,1212,85 WPM,98.9%,45,1/5,"Jan. 16, 2021",
1499,1211,70 WPM,97.2%,74,2/5,"Jan. 16, 2021",
1500,1210,71 WPM,96.0%,75,1/5,"Jan. 16, 2021",
1501,1209,75 WPM,96.3%,76,1/5,"Jan. 16, 2021",
1502,1208,71 WPM,97.5%,84,3/5,"Jan. 16, 2021",
1503,1207,72 WPM,97.3%,48,4/5,"Jan. 16, 2021",
1504,1206,80 WPM,97.6%,88,3/5,"Jan. 16, 2021",
1505,1205,70 WPM,96.6%,42,5/5,"Jan. 16, 2021",
1506,1204,71 WPM,95.9%,51,4/5,"Jan. 16, 2021",
1507,1203,71 WPM,96.6%,82,2/4,"Jan. 16, 2021",
1508,1202,77 WPM,96.8%,68,4/5,"Jan. 16, 2021",
1509,1201,71 WPM,94.9%,36,5/5,"Jan. 16, 2021",
1510,1200,87 WPM,99.0%,55,2/5,"Jan. 16, 2021",
1511,1199,74 WPM,97.5%,50,3/5,"Jan. 16, 2021",
1512,1198,77 WPM,97.4%,44,3/5,"Jan. 16, 2021",
1513,1197,68 WPM,96.5%,76,2/3,"Jan. 16, 2021",
1514,1196,68 WPM,96.7%,124,3/5,"Jan. 16, 2021",
1515,1195,74 WPM,96.5%,81,1/5,"Jan. 16, 2021",
1516,1194,67 WPM,95.0%,76,5/5,"Jan. 16, 2021",
1517,1193,74 WPM,96.9%,132,2/5,"Jan. 16, 2021",
1518,1192,75 WPM,98.0%,69,3/5,"Jan. 16, 2021",
1519,1191,73 WPM,96.3%,42,1/5,"Jan. 16, 2021",
1520,1190,71 WPM,96.2%,51,2/4,"Jan. 16, 2021",
1521,1189,84 WPM,96.5%,48,2/5,"Jan. 16, 2021",
1522,1188,75 WPM,97.1%,38,3/5,"Jan. 16, 2021",
1523,1187,83 WPM,97.4%,56,1/5,"Jan. 16, 2021",
1524,1186,85 WPM,97.2%,18,1/5,"Jan. 16, 2021",
1525,1185,76 WPM,97.4%,48,2/5,"Jan. 16, 2021",
1526,1184,79 WPM,97.5%,59,2/4,"Jan. 16, 2021",
1527,1183,74 WPM,97.3%,125,2/5,"Jan. 16, 2021",
1528,1182,68 WPM,96.1%,93,2/4,"Jan. 16, 2021",
1529,1181,75 WPM,97.4%,84,3/4,"Jan. 16, 2021",
1530,1180,74 WPM,96.2%,36,5/5,"Jan. 16, 2021",
1531,1179,81 WPM,97.0%,63,1/4,"Jan. 16, 2021",
1532,1178,75 WPM,96.6%,80,4/5,"Jan. 16, 2021",
1533,1177,74 WPM,97.2%,64,4/5,"Jan. 16, 2021",
1534,1176,72 WPM,96.8%,123,2/4,"Jan. 16, 2021",
1535,1175,79 WPM,97.1%,50,3/5,"Jan. 16, 2021",
1536,1174,71 WPM,96.3%,66,3/5,"Jan. 16, 2021",
1537,1173,73 WPM,97.5%,45,2/5,"Jan. 16, 2021",
1538,1172,68 WPM,96.2%,71,3/5,"Jan. 16, 2021",
1539,1171,77 WPM,97.3%,59,4/5,"Jan. 16, 2021",
1540,1170,73 WPM,97.1%,33,1/4,"Jan. 16, 2021",
1541,1169,71 WPM,97.7%,50,1/5,"Jan. 16, 2021",
1542,1168,74 WPM,99.3%,27,3/5,"Jan. 16, 2021",
1543,1167,72 WPM,97.0%,68,3/5,"Jan. 16, 2021",
1544,1166,69 WPM,97.0%,46,2/5,"Jan. 16, 2021",
1545,1165,75 WPM,97.6%,77,2/5,"Jan. 16, 2021",
1546,1164,70 WPM,97.1%,84,4/5,"Jan. 16, 2021",
1547,1163,70 WPM,96.6%,129,4/5,"Jan. 16, 2021",
1548,1162,75 WPM,97.3%,39,4/4,"Jan. 16, 2021",
1549,1161,76 WPM,98.1%,69,1/5,"Jan. 16, 2021",
1550,1160,67 WPM,97.0%,61,4/5,"Jan. 16, 2021",
1551,1159,69 WPM,96.3%,40,4/5,"Jan. 16, 2021",
1552,1158,66 WPM,96.0%,39,3/4,"Jan. 16, 2021",
1553,1157,73 WPM,96.9%,99,2/5,"Jan. 16, 2021",
1554,1156,72 WPM,97.0%,92,2/3,"Jan. 16, 2021",
1555,1155,75 WPM,96.5%,89,1/5,"Jan. 16, 2021",
1556,1154,70 WPM,96.4%,68,1/4,"Jan. 16, 2021",
1557,1153,67 WPM,95.9%,84,3/4,"Jan. 16, 2021",
1558,1152,63 WPM,96.2%,60,2/3,"Jan. 16, 2021",
1559,1151,75 WPM,96.3%,81,3/4,"Jan. 16, 2021",
1560,1150,68 WPM,96.6%,152,2/4,"Jan. 16, 2021",
1561,1149,71 WPM,98.0%,59,1/5,"Jan. 16, 2021",
1562,1148,73 WPM,97.0%,104,3/4,"Jan. 16, 2021",
1563,1147,78 WPM,97.1%,37,2/5,"Jan. 16, 2021",
1564,1146,66 WPM,95.4%,76,4/5,"Jan. 16, 2021",
1565,1145,65 WPM,96.8%,51,4/5,"Jan. 16, 2021",
1566,1144,69 WPM,96.1%,68,4/5,"Jan. 16, 2021",
1567,1143,73 WPM,96.9%,60,1/5,"Jan. 16, 2021",
1568,1142,74 WPM,97.3%,48,1/5,"Jan. 16, 2021",
1569,1141,84 WPM,98.6%,41,5/5,"Jan. 16, 2021",
1570,1140,73 WPM,97.9%,37,2/5,"Jan. 16, 2021",
1571,1139,78 WPM,97.1%,46,1/5,"Jan. 16, 2021",
1572,1138,72 WPM,98.3%,49,3/5,"Jan. 16, 2021",
1573,1137,72 WPM,96.3%,38,3/5,"Jan. 16, 2021",
1574,1136,78 WPM,96.9%,85,2/4,"Jan. 16, 2021",
1575,1135,62 WPM,94.2%,27,4/5,"Jan. 16, 2021",
1576,1134,70 WPM,95.5%,116,1/4,"Jan. 16, 2021",
1577,1133,64 WPM,97.3%,64,2/4,"Jan. 16, 2021",
1578,1132,66 WPM,95.7%,90,3/5,"Jan. 16, 2021",
1579,1131,73 WPM,97.6%,86,1/4,"Jan. 16, 2021",
1580,1130,75 WPM,97.3%,58,4/5,"Jan. 16, 2021",
1581,1129,75 WPM,97.1%,39,3/5,"Jan. 16, 2021",
1582,1128,67 WPM,96.5%,127,2/4,"Jan. 16, 2021",
1583,1127,65 WPM,95.7%,54,3/4,"Jan. 16, 2021",
1584,1126,69 WPM,95.6%,57,5/5,"Jan. 16, 2021",
1585,1125,75 WPM,97.2%,59,3/5,"Jan. 16, 2021",
1586,1124,69 WPM,97.5%,81,4/5,"Jan. 16, 2021",
1587,1123,72 WPM,97.1%,84,3/5,"Jan. 16, 2021",
1588,1122,73 WPM,98.9%,38,1/5,"Jan. 16, 2021",
1589,1121,79 WPM,97.0%,73,2/5,"Jan. 16, 2021",
1590,1120,69 WPM,96.4%,133,2/4,"Jan. 16, 2021",
1591,1119,68 WPM,97.6%,67,1/5,"Jan. 16, 2021",
1592,1118,67 WPM,95.5%,40,2/5,"Jan. 16, 2021",
1593,1117,70 WPM,96.5%,45,5/5,"Jan. 15, 2021",
1594,1116,79 WPM,98.3%,70,2/5,"Jan. 15, 2021",
1595,1115,74 WPM,96.5%,85,1/5,"Jan. 15, 2021",
1596,1114,70 WPM,96.2%,82,2/4,"Jan. 15, 2021",
1597,1113,78 WPM,97.9%,51,1/5,"Jan. 15, 2021",
1598,1112,80 WPM,99.0%,50,2/5,"Jan. 15, 2021",
1599,1111,76 WPM,96.5%,45,1/5,"Jan. 15, 2021",
1600,1110,75 WPM,97.6%,70,2/5,"Jan. 15, 2021",
1601,1109,78 WPM,98.0%,52,3/5,"Jan. 15, 2021",
1602,1108,68 WPM,95.7%,53,4/5,"Jan. 15, 2021",
1603,1107,72 WPM,95.9%,51,2/5,"Jan. 15, 2021",
1604,1106,77 WPM,97.0%,46,3/4,"Jan. 15, 2021",
1605,1105,68 WPM,96.7%,31,1/5,"Jan. 15, 2021",
1606,1104,77 WPM,97.3%,58,3/5,"Jan. 15, 2021",
1607,1103,70 WPM,96.8%,41,2/4,"Jan. 15, 2021",
1608,1102,63 WPM,97.4%,44,3/5,"Jan. 15, 2021",
1609,1101,74 WPM,98.0%,42,3/5,"Jan. 15, 2021",
1610,1100,79 WPM,98.5%,81,2/5,"Jan. 15, 2021",
1611,1099,70 WPM,96.3%,75,3/5,"Jan. 15, 2021",
1612,1098,68 WPM,96.8%,46,3/4,"Jan. 15, 2021",
1613,1097,70 WPM,96.4%,43,5/5,"Jan. 15, 2021",
1614,1096,66 WPM,96.3%,75,1/4,"Jan. 15, 2021",
1615,1095,72 WPM,98.3%,60,3/5,"Jan. 15, 2021",
1616,1094,88 WPM,100.0%,29,1/5,"Jan. 15, 2021",
1617,1093,74 WPM,96.5%,45,2/5,"Jan. 15, 2021",
1618,1092,75 WPM,97.5%,63,2/5,"Jan. 15, 2021",
1619,1091,73 WPM,98.3%,34,2/5,"Jan. 15, 2021",
1620,1090,76 WPM,98.1%,68,2/3,"Jan. 15, 2021",
1621,1089,75 WPM,97.4%,78,2/4,"Jan. 15, 2021",
1622,1088,69 WPM,97.3%,55,1/4,"Jan. 15, 2021",
1623,1087,64 WPM,96.8%,52,2/5,"Jan. 15, 2021",
1624,1086,76 WPM,96.3%,47,2/5,"Jan. 15, 2021",
1625,1085,69 WPM,96.6%,39,2/4,"Jan. 15, 2021",
1626,1084,73 WPM,96.7%,68,3/5,"Jan. 15, 2021",
1627,1083,73 WPM,97.2%,61,1/5,"Jan. 15, 2021",
1628,1082,76 WPM,96.0%,62,3/5,"Jan. 15, 2021",
1629,1081,70 WPM,97.1%,126,4/5,"Jan. 15, 2021",
1630,1080,73 WPM,97.5%,35,3/5,"Jan. 15, 2021",
1631,1079,70 WPM,96.4%,74,1/5,"Jan. 15, 2021",
1632,1078,62 WPM,95.2%,44,3/5,"Jan. 15, 2021",
1633,1077,68 WPM,95.8%,74,1/4,"Jan. 15, 2021",
1634,1076,68 WPM,95.7%,50,4/5,"Jan. 15, 2021",
1635,1075,68 WPM,97.0%,48,1/5,"Jan. 15, 2021",
1636,1074,67 WPM,95.5%,71,5/5,"Jan. 15, 2021",
1637,1073,80 WPM,97.7%,48,2/5,"Jan. 15, 2021",
1638,1072,72 WPM,98.7%,37,4/5,"Jan. 15, 2021",
